,Latitude,Longitude,HydroSHEDS_ID,Aridity,Evaporative_index,Elevation,Slope,NDVI
1,42.8583,81.4444,4050327070,0.314568587,0.175292079,2575.7972,17.7475,0.313
2,-14.3818,-52.5748,6050527670,0.087064759,0.269334861,404.2755,1.7378,0.646
3,19.471,36.6596,1050002290,1.077859281,0.438328471,742.5314,8.2235,0.091
4,17.3416,-8.5339,1050560730,0.432526331,0.40509711,219.8259,0.8326,0.136
5,38.2901,104.1024,4050050850,0.5089746,0.391987724,1481.5513,1.7141,0.083
6,25.6803,88.0289,4050960480,0.077255431,0.19211806,127.9712,1.9496,0.504
7,67.8164,22.1108,2050030100,0.105650662,0.144830644,404.2089,3.4875,0.296
8,-26.9827,29.3877,1051608870,0.172866226,0.395901035,1655.0009,2.5933,0.445
9,5.9991,41.3995,1051035300,0.232257026,0.301941125,982.7234,2.9956,0.383
10,46.0115,127.3052,4050225200,0.197161133,0.331305841,245.4738,3.2223,0.387
11,35.8152,107.4817,4050631880,0.182627907,0.374205844,1387.4341,12.3203,0.312
12,52.6041,96.3243,3050650920,0.201197912,0.224604122,1439.2576,10.8392,0.425
13,0.2952,111.919,5050017030,0.048790767,0.164273894,222.8285,7.2023,0.726
14,0.7949,39.2008,1051137860,0.420335461,0.392365169,291.0305,0.4178,0.278
15,-10.5544,-37.2233,6050011790,0.138918671,0.398819559,136.9961,3.2245,0.603
16,57.428,-153.5367,8050019080,0.043843258,0.090477473,258.9453,14.1302,0.323
17,26.6291,37.8745,2050902950,0.77749508,0.510530073,1001.9196,6.6992,0.082
18,36.06,-76.9259,7050042250,0.103663374,0.303395159,13.5363,0.6847,0.713
19,40.4928,67.6037,4050411980,0.310433333,0.440992334,574.04,3.5071,0.266
20,-27.2473,137.876,5050476910,0.523521092,0.638340442,16.007,1.0005,0.136
21,40.5769,106.5005,4050052810,0.692500396,0.395911181,1224.6647,4.1151,0.105
22,-28.1566,16.8472,1050015850,1.683944881,0.42745168,491.9523,8.5832,0.157
23,28.5503,36.6206,2050085920,1.448427957,0.531973215,997.2799,3.3589,0.105
24,35.7824,43.19,2050735750,0.133806075,0.401541363,235.7517,0.9719,0.167
25,-12.0806,31.6386,1051376970,0.145562697,0.285052185,1118.925,4.1128,0.627
26,19.1764,43.4612,2050960220,0.45183102,0.465200754,1455.7917,3.6038,0.082
27,55.3684,-91.4376,7050137410,0.175926787,0.240911806,141.3983,0.5386,0.373
28,-19.5545,15.9373,1051494890,0.236776689,0.375657175,1226.8452,0.78,0.339
29,14.382,-4.3851,1050641660,0.238217781,0.505037255,268.3389,0.2408,0.334
30,28.8972,20.9254,1050042690,2.532894737,0.781887065,100.3634,0.3299,0.103
31,63.6684,-134.4296,8050219130,0.213356057,0.20840611,1056.7916,12.9363,0.362
32,41.0033,86.3002,4050416000,1.621011494,0.42056142,886.4216,0.8037,0.034
33,-31.2072,118.0652,5050560670,0.309463264,0.406337289,339.0048,0.9944,0.362
